1,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,S,164,STT,All,All,,,0
2,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,M,164,STT,All,All,,,0
3,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,L,164,STT,All,All,,,0
4,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,XL,164,STT,All,All,,,0
5,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,2XL,164,STT,All,All,,,0
6,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,3XL,164,STT,All,All,,,0
7,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,4XL,164,STT,All,All,,,0
8,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,5XL,164,STT,All,All,,,0
9,1,Vest (Bule),เสื้อกั๊กสีฟ้า,เสื้อกั๊กฟ้า.jpg,6XL,164,STT,All,All,,,0
10,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,S,154,"Subcon,Student",All,All,,,0
11,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,M,154,"Subcon,Student",All,All,,,0
12,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,L,154,"Subcon,Student",All,All,,,0
13,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,XL,154,"Subcon,Student",All,All,,,0
14,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,2XL,154,"Subcon,Student",All,All,,,0
15,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,3XL,154,"Subcon,Student",All,All,,,0
16,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,4XL,154,"Subcon,Student",All,All,,,0
17,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,5XL,154,"Subcon,Student",All,All,,,0
18,2,Vest (Gray),เสื้อกั๊กสีเทา,เสื้อกั๊กเทา.jpg,6XL,154,"Subcon,Student",All,All,,,0
19,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,34,320,All,All,All,,,0
20,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,35,320,All,All,All,,,0
21,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,36,320,All,All,All,,,0
22,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,37,320,All,All,All,,,0
23,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,38,320,All,All,All,,,0
24,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,39,320,All,All,All,,,0
25,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,40,320,All,All,All,,,0
26,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,41,320,All,All,All,,,0
27,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,42,320,All,All,All,,,0
28,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,43,320,All,All,All,,,0
29,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,44,320,All,All,All,,,0
30,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,45,320,All,All,All,,,0
31,3,ESD Shoes,รองเท้า ESD,รองเท้าESD.jpg,46,320,All,All,All,,,0
32,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,36,140,All,All,MCL,,,0
33,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,37,140,All,All,MCL,,,0
34,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,38,140,All,All,MCL,,,0
35,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,39,140,All,All,MCL,,,0
36,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,40,140,All,All,MCL,,,0
37,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,41,140,All,All,MCL,,,0
38,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,42,140,All,All,MCL,,,0
39,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,43,140,All,All,MCL,,,0
40,4,Nanyang Shoes,รองเท้าผ้าใบ,รองเท้าผ้าใบ.jpg,44,140,All,All,MCL,,,0
41,5,Maintenance Suit,ชุดช่าง,เสื้อช่างสีกรม.jpg,S,520,All,All,Process Eng./AM/WSS,,,0
42,5,Maintenance Suit,ชุดช่าง,เสื้อช่างสีกรม.jpg,M,520,All,All,Process Eng./AM/WSS,,,0
43,5,Maintenance Suit,ชุดช่าง,เสื้อช่างสีกรม.jpg,L,520,All,All,Process Eng./AM/WSS,,,0
44,5,Maintenance Suit,ชุดช่าง,เสื้อช่างสีกรม.jpg,XL,520,All,All,Process Eng./AM/WSS,,,0
45,5,Maintenance Suit,ชุดช่าง,เสื้อช่างสีกรม.jpg,2XL,520,All,All,Process Eng./AM/WSS,,,0
46,5,Maintenance Suit,ชุดช่าง,เสื้อช่างสีกรม.jpg,3XL,520,All,All,Process Eng./AM/WSS,,,0
47,6,Blue Moternily clothes,ชุดคลุมท้องสีฟ้า,ชุดคลุมท้อง.jpg,S,385,STT,All,All,,,0
48,6,Blue Moternily clothes,ชุดคลุมท้องสีฟ้า,ชุดคลุมท้อง.jpg,M,385,STT,All,All,,,0
49,6,Blue Moternily clothes,ชุดคลุมท้องสีฟ้า,ชุดคลุมท้อง.jpg,L,385,STT,All,All,,,0
50,6,Blue Moternily clothes,ชุดคลุมท้องสีฟ้า,ชุดคลุมท้อง.jpg,XL,385,STT,All,All,,,0
51,7,Gray Moternily clothes,ชุดคลุมท้องสีเทา,,S,385,Subcon,All,All,,,0
52,7,Gray Moternily clothes,ชุดคลุมท้องสีเทา,,M,385,Subcon,All,All,,,0
53,7,Gray Moternily clothes,ชุดคลุมท้องสีเทา,,L,385,Subcon,All,All,,,0
54,7,Gray Moternily clothes,ชุดคลุมท้องสีเทา,,XL,385,Subcon,All,All,,,0
55,8,Cap (green),หมวก (เขียวอ่อน),หมวกเขียวอ่อน.jpg,Free size,54,All,All,Direct,,,0
56,9,Cap (dark green),หมวก (เขียวเข้ม),,Free size,54,STT,All,MCL,,,0
57,10,Cap (white),หมวก (ขาว),หมวกสีขาว.jpg,Free size,54,STT,M5/I5 up,All,,,0
58,11,Cap (Yellow),หมวก (สีเหลือง),หมวกสีเหลือง.jpg,Free size,54,All,All,QA,,,0
59,12,Cap (Pink),หมวก (สีชมพู),หมวกสีชมพู.jpg,Free size,54,All,All,All,,,0
60,13,Cap (Brown),หมวก (สีน้ำตาล),หมวกสีน้ำตาล.jpg,Free size,54,All,All,All,,,0
61,14,Cap (Black),หมวก (สีดำ),หมวกดำ.jpg,Free size,54,All,All,Indirect,,,0
62,15,Cap (Blue),หมวก (สีฟ้า),หมวกสีฟ้า.jpg,Free size,54,All,All,All,,,0
